name,category,link,topics,country,region_africa,region_asia,region_easteurope,region_latinamerica,region_westeurope,year_start,year_end,availability,registration,license,file_codebook,file_csv,file_dta,file_sav,file_excel,file_r,file_zip,variable_countryname,variable_year,variable_cow,doi_article,doi_dataset,revised,note
3P Anti-trafficking Policy Index,policy,https://www.awi.uni-heidelberg.de/professuren/intwipol/datasets_en.html,"anti-trafficking, prosecution, protection, prevention",,1,1,1,1,1,2000,2012,online,no,,,,,,http://www.uni-heidelberg.de/md/awi/humantrafficking/3p_anti_trafficking_index_2000-2012.xls,,,Country,Year,,10.1111/sjoe.12055,,20220815,
A Comprehensive Dataset of U.S. Federal Laws,policy,https://doi.org/10.17605/OSF.IO/MRGHC,federal laws,US,0,0,0,0,1,1789,2022,online,no,CC-BY-4.0,,,,,,,,,,,10.1038/s41597-023-02758-z,10.17605/OSF.IO/MRGHC,20240303,
A Lexicial Index of Electoral Democracy,democracy,https://doi.org/10.7910/DVN/29106,"political regimes, democratization, regime change, democracy index",,1,1,1,1,1,1800,2015,online,no,CC0-1.0,,,,,,,,countryn,year,cow,10.1177/0010414015581050,10.7910/DVN/29106,20231104,
A millennium of macroeconomic data,economics,https://www.bankofengland.co.uk/statistics/research-datasets,"macroeconomics, finance",GB,0,0,0,0,0,1086,2016,online,no,,,,,,https://www.bankofengland.co.uk/-/media/boe/files/statistics/research-datasets/a-millennium-of-macroeconomic-data-for-the-uk.xlsx,,,,,,,,20201008,
Abortion Law Database,policy,https://www.hsph.harvard.edu/david-canning/data-sets/,"abortion, criteria",,1,1,1,1,1,1960,2006,online,no,,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/241/2012/10/abortion_Read_me.doc,,,,,,,ctr_name,year,,10.1007/s10887-009-9039-9,,20180529,
ACLP Political and Economic Database,political institutions,https://sites.google.com/site/joseantoniocheibub/datasets/democracy-and-development-aclp,"democracy, regimes, institutions, economy",,1,1,1,1,1,1951,1990,online,no,,,,,,,,https://uofi.box.com/shared/static/bde91e1f4a21c24632d6.zip,COUNTRY,YEAR,,,,20180502,
Administrative Capacities,governance,https://www.hertie-school.org/en/governancereport/govreport-indicators/,"crime control, education provision, civil justice provision, revenue collection capacity, legitimacy and effectiveness, regulatory capacity and quality, coordination capacity, self-monitoring",,1,1,1,1,1,2014,2014,online,no,,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_IndicatorsCodebook.pdf,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.csv,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.dta,,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.xlsx,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.RData,,country,,,,,20180225,Comprised of data from multiple organisations and data providers.
African Elections Database,elections,https://africanelections.tripod.com/,elections,,1,0,0,0,0,1910,2012,online,no,,,,,,,,,,,,,,20230305,
African Relational Pro-Government Militia Dataset,international relations,https://doi.org/10.1080/03050629.2018.1458724,"ethnic conflict, militia, civil war, conflict",,1,0,0,0,0,1997,2014,online,yes,,,,,,,,,,,,10.1080/03050629.2018.1458724,,20231001,
Afrobarometer,citizens,http://www.afrobarometer.org/,"conflict and crime, democracy, elections, gender equality, governance, identity, macroeconomics and markets, political participation, poverty, public services, social capital, tolerance, citizenship, energy",,1,0,0,0,0,1999,2016,online,no,,http://afrobarometer.org/sites/default/files/data/round-6/merged_round_6_codebook_28082017.pdf,,,http://afrobarometer.org/sites/default/files/data/round-6/merged_r6_data_2016_36countries2.sav,,,,COUNTRY,,,,,20180225,Cross-sectional. Data and codebook link is to the 2016 merged Round 6.
